SORTED	LEFT	MATCH	RIGHT	ID
activities that have already been agreed to during the...	... new policies and subtractions reflecting the	closure of	activities that have already been agreed to during the...	FAV.s807
airport or ports, and adverse weather conditions.	... natural or nuclear disaster, fire, airline failure,	closure of	airport or ports, and adverse weather conditions.	ED0.s333
airports and shipping lanes.	... widespread smogs, limiting visibility and forcing the	closure of	airports and shipping lanes.	J31.s601
airports due to poor visibility.	... have included widespread respiratory illnesses and the	closure of	airports due to poor visibility.	J31.s579
airports or seaports, alteration or cancellation of...	... technical or other problems with transportation,	closure of	airports or seaports, alteration or cancellation of...	AMD.s2735
al-ruweishid border crossing — tension with israel	Cabinet reshuffle —	Closure of	al-Ruweishid border crossing — Tension with Israel	HL3.s2284
aldershot stadium the former headquarters of promoter...	THE	closure of	Aldershot Stadium the former headquarters of promoter...	CF9.s715
all brothels nationwide.	... on prostitution at which demands were made for the	closure of	all brothels nationwide.	HLS.s952
all ex-soviet nuclear facilities.	It has reiterated demands for the	closure of	all ex-Soviet nuclear facilities.	J35.s466
all eyes about the empty halls of international...	... in Lesley Balcnh 's memorable phrase, she became " the	closure of	all eyes about the empty halls of international...	G3R.s1312
all foreign embassies in kuwait.	Deadline for the voluntary	closure of	all foreign embassies in Kuwait.	HKX.s629
all industries producing wastes containing...	Greenpeace is campaigning for the	closure of	all industries producing wastes containing...	J3G.s584
all nuclear power stations and the reform of the...	The party programme advocates the	closure of	all nuclear power stations and the reform of the...	J2W.s361
all schools and the university, and declared the...	On April 7 the government ordered the	closure of	all schools and the university, and declared the...	HKS.s561
all state mines.	... neo-liberal economic model — led in early 1986 to the	closure of	all state mines.	HH3.s3783
all the six mental hospitals, rather than just two.	... RHA came to the conclusion that it should aim for the	closure of	all the six mental hospitals, rather than just two.	CS7.s1238
almost a quarter of london 's hospital beds.	... a decrease in job satisfaction will result from the	closure of	almost a quarter of London 's hospital beds.	FT3.s1457
alternative exits from the grounds.	The building of a porter 's lodge and	closure of	alternative exits from the grounds.	CMG.s668
an additional home, which is the one that er, mr made...	... where the line is drawn, the further potential	closure of	an additional home, which is the one that er, Mr made...	J3P.s501
an adult training centre, the closure of an elderly...	... a hundred and seventy compulsory redundancies, the	closure of	an adult training centre, the closure of an elderly...	KRL.s2408
an elderly person 's home.	Now the biggest minus on the list is the	closure of	an elderly person 's home.	KRL.s2591
an elderly persons ' home, erm the closure of a hostel...	... the closure of an adult training centre, the	closure of	an elderly persons ' home, erm the closure of a hostel...	KRL.s2408
an entire department ) there is a professional...	... partners at one time, merger or takeover, or the	closure of	an entire department ) there is a professional...	J6P.s1125
an institution in the largest conurbation in europe...	... could result in the grave consequence of the	closure of	an institution in the largest conurbation in Europe...	HTK.s1311
and orthopaedic hospitals of this nature into that...	So I think we can project the	closure of	and orthopaedic hospitals of this nature into that...	H4A.s532
anglia canners in brechin is a body blow to...	... the Angus economy of more than £1 million due to the	closure of	Anglia Canners in Brechin is a body blow to...	HHV.s8621
any enterprise the activities of which " endanger...	... additional powers to order the suspension or	closure of	any enterprise the activities of which " endanger...	HLN.s2224
any facilities.	... Health Authorities were required to consult over the	closure of	any facilities.	J9G.s163
any major outlets.	... signs of returning activity to rule out the future	closure of	any major outlets.	CKX.s1217
any pit, unless on the grounds of exhaustion?"	... ( including strike action, if necessary ) to stop the	closure of	any pit, unless on the grounds of exhaustion?"	FAW.s418
approximately fifty percent of the phc network.	... rebel movement, RENAMO, has destroyed or forced the	closure of	approximately fifty percent of the PHC network.	FBH.s516
arkwright colliery was announced soon after the first...	... this turned out to be a wasted effort, as the	closure of	Arkwright Colliery was announced soon after the first...	AMR.s579
as many as five secondary schools next year because of...	Is he aware that Western Isles is contemplating the	closure of	as many as five secondary schools next year because of...	HHX.s3816
ashkirk and st abbs schools.	... and St Abbs, on the Berwickshire coast, follows the	closure of	Ashkirk and St Abbs schools.	K5D.s5089
asylums by the north east thames regional health...	Policy-making for the	closure of	asylums by the North East Thames Regional Health...	CS7.s1018
asylums.	... to a local political environment which favoured the	closure of	asylums.	CS7.s778
at least one college at year that they reopen after...	In it he proposes the	closure of	at least one college at year that they reopen after...	K1V.s2150
at.	... in the past few years and I think you will agree, the	closure of	at.	JS7.s452
baberton mains terrace		CLOSURE OF	BABERTON MAINS TERRACE	GXJ.s1217
baberton mains terrace — thus the housing area at...	... the Baberton/Westburn areas required the permanent	closure of	Baberton Mains Terrace — thus the housing area at...	GXJ.s1135
bairdwear at aycliffe brings the total number of...	The	closure of	Bairdwear at Aycliffe brings the total number of...	K4W.s1369
banstead in 1986.	... to admissions to any long-stay hospitals after the	closure of	Banstead in 1986.	CS7.s846
banstead were not different from those which applied...	The precipitating factors for the	closure of	Banstead were not different from those which applied...	CS7.s723
banstead, becoming a hospital of around 1,000 beds.	... as £25 million, with Goodmayes, like Horton after the	closure of	Banstead, becoming a hospital of around 1,000 beds.	CS7.s1088
banstead, in mid-1986, two researchers from the...	Towards the date for	closure of	Banstead, in mid-1986, two researchers from the...	CS7.s824
banstead.	... suitable alternative work within the NHS on the	closure of	Banstead.	CS7.s795
bars, and possibly plain clothes police officers in...	... more use of the public address systems, periodic	closure of	bars, and possibly plain clothes police officers in...	K4J.s1426
bases, to the withdrawal from nato, was based on a...	... Labour party 's commitment to unilateralism, to the	closure of	bases, to the withdrawal from NATO, was based on a...	HHX.s13938
berwick st james school was dealt with by county...	... change in procedure, I think, I do n't recall that the	closure of	Berwick St James school was dealt with by county...	JJG.s458
bir zeit is part of the systematic infringement of the...	As my hon. and learned Friend has accepted the	closure of	Bir Zeit is part of the systematic infringement of the...	HHV.s10094
bir zeit university for a further three months.	... of Israel following their decision to continue the	closure of	Bir Zeit university for a further three months.	HHV.s10080
bir zeit university, which was announced the other...	In that context, is not the continued	closure of	Bir Zeit university, which was announced the other...	HHV.s23751
bir zeit.	I equally deplore the continued	closure of	Bir Zeit.	HHV.s23757
birmingham accident hospital, famous for its...	Demonstrators protest about the proposed	closure of	Birmingham Accident Hospital, famous for its...	CAP.s103
borocourt is symbolic.	The	closure of	Borocourt is symbolic.	K1L.s1417
both digby and exminster did mean some transitory...	While the planned	closure of	both Digby and Exminster did mean some transitory...	CS7.s910
branch plants in the uk?	... the notorious role of " the multinationals " in the	closure of	branch plants in the UK?	G08.s1195
branches of multinational corporations.	... international competition and may take the form of	closure of	branches of multinational corporations.	HJ1.s8844
british bases on the island.	... of Ceylon ( now Sri Lanka ) had demanded the	closure of	British bases on the island.	ABA.s1000
british rail 's door-to-door parcels service in 1980...	But only a hiatus at National Carriers caused by the	closure of	British Rail 's door-to-door parcels service in 1980...	AA3.s261
broken scar treatment works in darlington.	... a diesel oil spillage near Barnard Castle led to the	closure of	Broken Scar Treatment Works in Darlington.	K55.s2355
brothels as a result of this drive forced poorer women...	The increased	closure of	brothels as a result of this drive forced poorer women...	G0D.s1016
business activities which were judged not to be viable...	... result of government cutbacks but it also reflects the	closure of	business activities which were judged not to be viable...	HB1.s115
businesses and goodwill write-offs.	An extraordinary charge of £11.7 million covers the	closure of	businesses and goodwill write-offs.	K5H.s4579
camel lairds which will lead to a loss of skills that...	... application to the E E C, next month will see the	closure of	Camel Lairds which will lead to a loss of skills that...	HLX.s85
cammell lairds, and redundancies at british aerospace,...	THE news about the	closure of	Cammell Lairds, and redundancies at British Aerospace,...	CCH.s4
cane hill hospital in south london, of 103 patients...	In a similar study of the	closure of	Cane Hill Hospital in south London, of 103 patients...	FT3.s183
cases ( to be covered below ) the development officers...	Leaving aside discussion of case loads and the	closure of	cases ( to be covered below ) the development officers...	B0W.s318
cases.	... be informed about assessments, services delivered, and	closure of	cases.	FT2.s1117
cash collecting paypoints at the end of this month...		Closure of	cash collecting paypoints at the end of this month...	K4W.s2864
causeway mr mayor, is scheduled to be implemented with...	The	closure of	causeway Mr Mayor, is scheduled to be implemented with...	JT7.s377
central park zoo were dropped ), the loss of at least...	... million ( although unpopular measures such as the	closure of	Central Park zoo were dropped ), the loss of at least...	HL9.s651
certain religious orders [ see pp. 9721-22; 11259 ].	... over the secularization of schools and enforced	closure of	certain religious orders [ see pp. 9721-22; 11259 ].	HKR.s1258
cgmp-gated channels in the rod outer segment plasma...	... system leading to a decrease in cyclic GMP and the	closure of	cGMP-gated channels in the rod outer segment plasma...	CRM.s4302
church human rights centre	Dropping of charges against former junta member —	Closure of	Church human rights centre	HLS.s495
claybury hospital.	... a local mental illness service and the eventual	closure of	Claybury Hospital.	CS7.s1272
coal mines, as provided for under existing outline...	... of state aid in several countries to assist in the	closure of	coal mines, as provided for under existing outline...	HKP.s1981
common bros of newcastle, there is now no major...	After the	closure of	Common Bros of Newcastle, there is now no major...	F9G.s1222
companies, amongst other burdens which operating as a...	... for legal formalities in the formation, running and	closure of	companies, amongst other burdens which operating as a...	FAU.s693
coulson house in it.	... as I said two thousand four three four and then the	closure of	Coulson House in it.	J9M.s76
coventry colliery with the loss of 1,300 jobs?	... House seen early-day motion 148 about the disgraceful	closure of	Coventry colliery with the loss of 1,300 jobs?	HHW.s12336
craiglockhart college of education, where she had been...	... joined the literature committee in 1985 after the	closure of	Craiglockhart College of Education, where she had been...	K5J.s4743
cranmore road at its junction with ormesby road today...	Works at Ormesby Road, Middlesbrough, will involve the	closure of	Cranmore Road at its junction with Ormesby Road today...	K4W.s707
customs offices or with competition in the area of...	... difficulties, such as job losses associated with	closure of	customs offices or with competition in the area of...	HXR.s243
david lane and southwick street diversions in...	And problems still in Baysford cos of the	closure of	David Lane and Southwick Street diversions in...	HMA.s374
david lane and southwick street diversions in...	Er delays problems still in Baysford cos of the	closure of	David Lane and Southwick Street diversions in...	HMA.s802
dawdon and murton collieries, near seaham, with the...	... of the coal industry which has resulted in the recent	closure of	Dawdon and Murton collieries, near Seaham, with the...	K51.s1316
debate by a simple majority.	... in 1881 to stop a forty-one hours sitting, allowed the	closure of	debate by a simple majority.	FRB.s100
debate, which mr bob cryer ( lab.	... discussions, a government whip just after 11pm moved	closure of	debate, which Mr Bob Cryer ( Lab.	A7W.s439
departments and the restriction of others to...	Some of the reviews recommended the	closure of	departments and the restriction of others to...	G20.s330
dhss resettlement centres and gave a firm promise that...	... Prime Minister recall that in 1986 he announced the	closure of	DHSS resettlement centres and gave a firm promise that...	HHV.s18150
digby hospital after short-stay beds had been...	... for elderly mentally ill patients, allowing a planned	closure of	Digby Hospital after short-stay beds had been...	CS7.s897
diplomatic and consular offices in kuwait and for the...	Demanded that Iraq " rescind its orders for the	closure " of	diplomatic and consular offices in Kuwait and for the...	HKX.s419
dms.	... circuits manufacturer, Flexitech — as well as the	closure of	DMS.	CNR.s132
dozens of government departments and the state banco...	... on promotions, overtime and new recruitment, the	closure of	dozens of government departments and the state Banco...	HKU.s3017
dutch primate centre	Glowing report may not avert	closure of	Dutch primate centre	FBP.s153
eagle mill at ipswich during the latter part of 1992.	has announced the	closure of	Eagle Mill at Ipswich during the latter part of 1992.	HRT.s1326
eastern europe were crucial to it.	... but the opening up of the New World and the Ottoman	closure of	Eastern Europe were crucial to it.	AE8.s702
edinburgh 's dental school ended in failure when the...	A campaign to prevent the	closure of	Edinburgh 's dental school ended in failure when the...	A50.s270
edinburgh as a head office and the transfer of the...	This exercise, unfortunately, resulted in the	closure of	Edinburgh as a Head Office and the transfer of the...	HP4.s69
eight council-run old people 's homes in county durham.	... yesterday made a last ditch attempt to block the	closure of	eight council-run old people 's homes in County Durham.	K55.s800
either devonport or rossythe would also put the...	Any political decision that could lead to the	closure of	either Devonport or Rossythe would also put the...	HLY.s62
elderly persons homes, y'know we 've got ta do it, we...	... because like other members of his group he throws out	closure of	elderly persons homes, y'know we 've got ta do it, we...	J9M.s10
elementary schools to young children made it much more...	The	closure of	elementary schools to young children made it much more...	GUW.s478
enterprises and in job losses, and would mean the loss...	... or stem the exodus of people, would result in the	closure of	enterprises and in job losses, and would mean the loss...	HKR.s1278
er,	No, on bid four, Mr, 's focusing in on the	closure of	er,	J3P.s497
essex hall.	... handicapped people in the West Essex District, and the	closure of	Essex Hall.	CS7.s1243
existing schools for deaf children which has taken...	... new, and so is the protest against the indiscriminate	closure of	existing schools for deaf children which has taken...	FTX.s1136
faskally in particular is controversial because the...	The	closure of	Faskally in particular is controversial because the...	K5M.s2604
ferranti international 's metrology systems division...	The move follows the	closure of	Ferranti International 's metrology systems division...	K59.s2257
five mills, took place before the year end.	... quickly effected and rationalisation, including the	closure of	five mills, took place before the year end.	HRT.s872
five old people 's homes, a county council is to spend...	Just days after announcing the	closure of	five old people 's homes, a county council is to spend...	K20.s1669
for example erm	... of Hertfordshire but the position changes with the	closure of	for example erm	JS7.s517
foreign trade, tariff barriers and a whole range of...	... the failure of banks, under-capitalisation, the	closure of	foreign trade, tariff barriers and a whole range of...	BN2.s542
fosters menswear shop in baxtergate, whitby, only a...	... and a consequent loss of business is forcing the	closure of	Fosters menswear shop in Baxtergate, Whitby, only a...	K55.s1774
four and a half years, the gallery reopens with, among...	On 9 May, after a	closure of	four and a half years, the gallery reopens with, among...	CKX.s559
french consulate		Closure of	French consulate	HLT.s919
friern and claybury.	... closely the planning issues to be resolved for the	closure of	Friern and Claybury.	CS7.s1278
friern and that money should not be spent on the...	... falling on deaf ears that a date should be set for the	closure of	Friern and that money should not be spent on the...	CS7.s1100
garstang magistrates ' court.	... had a letter from LAPTC yesterday about the threatened	closure of	Garstang Magistrates ' Court.	HPK.s377
graves lane, which actually is just about, i think,...	Er, had a press release, er about the temporary	closure of	Graves Lane, which actually is just about, I think,...	JTD.s63
greybeck mills, and its reopening, the centre of the...	Framed by the story of the	closure of	Greybeck Mills, and its reopening, the centre of the...	A7L.s468
grimbergen, and they should also bear in mind the...	... read this and consider seriously the disadvantages of	closure of	Grimbergen, and they should also bear in mind the...	CLU.s1836
hanley pottery and the possible loss of around 400...	... the Group to explain the reasons behind the planned	closure of	Hanley Pottery and the possible loss of around 400...	HBC.s7
hanley pottery with the loss of around 160 jobs.	... this restructuring and cost efficiency include the	closure of	Hanley Pottery with the loss of around 160 jobs.	HBC.s16
hanley pottery.	... base or permanent manufacturing capacity following the	closure of	Hanley Pottery.	HBC.s91
harefield hospital is recommended, although the...		Closure of	Harefield Hospital is recommended, although the...	HWW.s1508
heiton would be carried out over the summer.	... said the formal consultation process on permanent	closure of	Heiton would be carried out over the summer.	K5M.s8794
her former dealer, fischer, in 1991.	... ( 21 May-26 June ), her first exhibition since the	closure of	her former dealer, Fischer, in 1991.	CKX.s1550
her gown.	... leaving her face, he reached behind her and undid the	closure of	her gown.	JY7.s5079
high row and skinnergate was a disastrous course.	... while Coun Peter Jones ( Con ) said the planned	closure of	High Row and Skinnergate was a disastrous course.	K55.s360
his quadrex securities.	... executive control of money-brokers R P Martin, and the	closure of	his Quadrex Securities.	AJP.s246
hormuz was the mood prevailing in ruling circles in...	Another key factor related to the possibility of the	closure of	Hormuz was the mood prevailing in ruling circles in...	HRE.s776
hospital.	... that we actually make a practical response to the	closure of	Hospital.	H4A.s108
hospitals and the cancellation of operations?	... hundreds of millions of pounds and would lead to the	closure of	hospitals and the cancellation of operations?	HHV.s5958
hospitals or schools, access to local government...	... immigration, prisoners ' rights, homelessness, the	closure of	hospitals or schools, access to local government...	A31.s31
household waste sites in and in.	... and the results have been cuts that threaten the	closure of	household waste sites in and in.	J9H.s671
howard doris with 650 job losses and by the experience...	The nature of operations is illustrated by the	closure of	Howard Doris with 650 job losses and by the experience...	F9G.s1177
huge victorian asylums.	... with the rehabilitation of long-stay patients and the	closure of	huge Victorian asylums.	GWJ.s744
human rights league		Closure of	human rights league	HLL.s2203
hundreds of factories.	... economy now seems to be in Freefall, leading to the	closure of	hundreds of Factories.	CEK.s3853
hustledown house in stanley, home to 38 pensioners...	... every county councillor urging them to reconsider the	closure of	Hustledown House in Stanley, home to 38 pensioners...	K54.s360
hustledown house.	They can not justify the	closure of	Hustledown House.	K54.s366
hustledown.	... investigation into alleged maladministration over the	closure of	Hustledown.	K54.s364
hustledown.	... investigation into alleged maladministration over the	closure of	Hustledown.	K55.s806
imp and the growth of the media programmes it has...	... issue of Action will carry more information on the	closure of	IMP and the growth of the media programmes it has...	EBH.s351
incineration plants at a stroke, because noxious...	No one could therefore call for the	closure of	incineration plants at a stroke, because noxious...	A1U.s123
indian high commission		Closure of	Indian high commission	HL1.s2302
industries and the impact of the nra 's legal consent...	... the survey, are due to better treatment of wastes, the	closure of	industries and the impact of the NRA 's legal consent...	K9G.s138
industries as well as those displaced by bureaucratic...	... guarantees of basic pay for workers affected by the	closure of	industries as well as those displaced by bureaucratic...	HL7.s3033
its alpine border to all goods traffic, in response to...	... Minister, Carlo Bernini, on Oct. 15 ordered the	closure of	its Alpine border to all goods traffic, in response to...	HL0.s1300
its borders in july, while germany had accepted...	In Croatia 369,300 were officially registered up to the	closure of	its borders in July, while Germany had accepted...	HLS.s1142
its bus plant in workington with a loss of 370 jobs.	... and Wilson, and last weekend Volvo announced the	closure of	its bus plant in Workington with a loss of 370 jobs.	HHX.s6776
its child cancer ward and several others, and managers...	However, the specialist review recommends	closure of	its child cancer ward and several others, and managers...	HJ4.s8705
its hatfield plant.	British Aerospace announced 3,000 losses and the	closure of	its Hatfield plant.	CBX.s676
its home-delivery distribution centre at runcorn,...	... group, MFI, is to cut about 259 jobs with the	closure of	its home-delivery distribution centre at Runcorn,...	K59.s952
its newtown aycliffe factory, with the loss of 95 jobs.	Bairdwear announced the	closure of	its Newtown Aycliffe factory, with the loss of 95 jobs.	K51.s844
its only factory outside scotland, at king 's lynn in...	Last August the company announced the	closure of	its only factory outside Scotland, at King 's Lynn in...	K5D.s10189
its own wholesale library supply business.	... than through the wholesale market, and the consequent	closure of	its own wholesale library supply business.	GWK.s179
its pits.	... in West Lothian — an area socially devastated by the	closure of	its pits.	HPP.s531
its plant in hatfield, herts.	Contractors BAe has already announced the	closure of	its plant in Hatfield, Herts.	CEN.s3281
its solidarity vicariate, the recipient of the nobel...	The Catholic Church announced on Nov. 27 the	closure of	its Solidarity Vicariate, the recipient of the Nobel...	HLS.s499
its st helens factory last year and transfer of...	... Wiring Systems division faces more pain, despite the	closure of	its St Helens factory last year and transfer of...	K4H.s188
its state-of-the-art manufacturing plant.	... to announce staff layoffs and contemplating the	closure of	its state-of-the-art manufacturing plant.	CST.s402
its styrene 1 unit at terneuzen, the netherlands, in...	Following the	closure of	its Styrene 1 unit at Terneuzen, the Netherlands, in...	B0M.s543
its two existing plants in melbourne.	... aims to export into Asia, will mean the eventual	closure of	its two existing plants in Melbourne.	K9B.s699
its two nuclear reactors and against any further...	... in 1988 produced an 80 per cent majority who voted for	closure of	its two nuclear reactors and against any further...	GU5.s474
its us market knocked a hefty 17.5 per cent off south...	The	closure of	its US market knocked a hefty 17.5 per cent off South...	HH3.s7578
jaeger 's hawick factory in october of that year...	The	closure of	Jaeger 's Hawick factory in October of that year...	K5J.s1885
jordanian border to refugees — tension with israel		Closure of	Jordanian border to refugees — Tension with Israel	HL3.s2307
kelham and by the decline in numbers at similar...	He would have been saddened by the	closure of	Kelham and by the decline in numbers at similar...	H9X.s648
