SORTED	LEFT	MATCH	RIGHT	ID
13 years old . 	... 83 , took a job as helper in Lin Heung Tea House when	he was	13 years old . [.] He and Lin Heung grew up together .	ICE-HKG:W2D-018:99:4
15. 	... and he finally managed to get his own telescope when	he was	15. [.] ÂMy mother thought I was a bit off,Â because of hi...	ICE-CAN:W2B-024:32:1
16 years old. 	... the general degree, who had assisted at Dunsink since	he was	16 years old. [.] On 11th November 1942, Lindsay wrote (Waym...	ICE-IRL:W2B-008:A
16. 	... for Barry McGuigan #?# how his mother had died when	he was	16. [.] He was kind of merry so you would n't know whether t...	ICE-IRL:W1B-014:A
18 at the time. 	... for his decision to take up where his brother left off. [.]	He was	18 at the time. [.]  " When my brother left he left his mach...	ICE-JAM:W2B-034:92:3
19 and studying at loyola when he was first offered...	...Lahey Lecture, January 13 at the Concordia Concert Hall. [.]	He was	19 and studying at Loyola when he was first offered...	ICE-CAN:W2C-012:19:2
3 for 3 in the field , included a 3-pointer . 	... the first few minutes he played in the first quarter ,	he was	3 for 3 in the field , included a 3-pointer . [.] He got 27 ...	ICE-HKG:W1B-009:134:4
30 and she was 17 . 	... Po village and fell in love with his neighbour when	he was	30 and she was 17 . [.] After dating for five years , they m...	ICE-HKG:W2B-014:74:1
35-years-old but looked at least ten years older. 	His name was Shahid Hussain Soomro. [.]	He was	35-years-old but looked at least ten years older. [.] His wi...	ICE-SGP:W2B-005:21:1
37. 	...g so cial historians died in a car acci dent November 2. [.]	He was	37. [.] Al though John taught in some of this country's most...	ICE-CAN:W2C-002:40:3
38 then , had made several successful films but the...	...y street in the grimy commercial district of Kwun Tong . [.]	He was	38 then , had made several successful films but the...	ICE-HKG:W2B-001:83:1
43 at the time". 	...- can you imagine the effect that has on a many his age? [.]	He was	43 at the time". [.] Noel worked in the black economy for a ...	ICE-IRL:W2B-020:A
53 years of age. 	...oes Johannes Sinkes, a Personnel Counsellor, of Holland. [.]	He was	53 years of age. [.] On July 1st he left the hotel at 2:15 p...	ICE-JAM:W2C-013:85:4
6 six years today goh chok tong would not get priority...	Where is the equality [.] Do you realise that if	he was	6 six years today Goh Chok Tong would not get priority...	ICE-SGP:S2B-047:56:1:A
9.6 in the second go which gath ered another $2,764...	...st go tied for second and third, and a payout of $3,299. [.]	He was	9.6 in the second go which gath ered another $2,764...	ICE-CAN:W2D-015:7:1
90 in june. 	... Lennon died on Sept 18th at 2 o'clock in the morning,	he was	90 in June. [.] Thank God he did n't have to spend another w...	ICE-IRL:W1B-001:A
<+> a </+> very poor man 	... <,> or you have to buy that <,> <{> <[> ah <,> so	he was	<+> a </+> very poor man [.] So <,> he drills hole into <,> ...	ICE-IND:S1B-017:33:1:S
<+> a </+> very poor man <,> 	... <,> or <,> not <,,>  #...# [.] Sir first thing he said that	he was	<+> a </+> very poor man <,> [.] Yes	ICE-IND:S1B-017:31:1:S
<,,> 	... <?> say </?> what <@> Mick </@> was doing and where	he was	<,,> [.] <@> Charles Montebank </@> <,> said <,,> that he ra...	ICE-CAN:S2A-062:93:1:A
<,,> 	Sorry [.] So	he was	<,,> [.] Che/rie you know her uh <,> you know the girl whose...	ICE-IRL:S1A-009:B
<,,> angry 	...n kept on squirming [.] She kept on moving so the Prince <,>	he was	<,,> angry [.] He became angry because the Queen did n't fol...	ICE-PHL:S1A-046:247:1:B
<,,> camping in my house <,,> 	... of mine <,> invariably whenever he was in Bombay	he was	<,,> camping in my house <,,> [.] Those days also <,,> like ...	ICE-IND:S2A-044:142:1:A
<,,> in the <,,> den throughout the night <,,> 	...e den and went </=> </}> to his house is not correct <,> [.]	He was	<,,> in the <,,> den throughout the night <,,> [.] #...#	ICE-IND:S1B-064:244:1:B
<,,> preaching <,,> men and women came <,> this is one...	...<,> or concept of <,> the highest realisation <,,> [.] So as	he was	<,,> preaching <,,> men and women came <,> this is one...	ICE-IND:S2A-043:162:1:A
<,,> present at the den <,,> #...# 	... <,,> did not go to <,,> for dinner <,,> and that <,,>	he was	<,,> present at the den <,,> #...# [.] Bara <,,> now <,,> on...	ICE-IND:S1B-064:252:1:D
<,,> putting those cartridges in the revolver <,> what...	... was returned to <@> Strongman </@> <,,>  #...# [.] Now when	he was	<,,> putting those cartridges in the revolver <,> what...	ICE-IND:S1B-063:204:1:B
<,,> surprised at <}> <=> the </=> </}> the length of...	... got over a virus and so have all his patients where	he was	<,,> surprised at <}> <=> the </=> </}> the length of...	ICE-CAN:S1A-001:153:1:A
<,> 	... he was definitely carrying far more condition than	he was	<,> [.] for virtually the whole of last season I think he ca...	ICE-HKG:S2A-006:129:1:A
<,> 	...hey were standing at their respective places <,> ? [.] After	he was	<,> [.] After <,> haan after he was <,>	ICE-IND:S1B-070:299:1:B
<,> 	After he was <,> [.] After <,> haan after	he was	<,> [.] After <,,> he was hit by bullet <,>	ICE-IND:S1B-070:300:1:F
<,> #..# um i <{#><[#>think</[<#> she says was a child...	sorts of trouble with <?>both the</?> boy [.] even when	he was	<,> #..# um i <{#><[#>think</[<#> she says was a child...	ICE-NZL:S1A-028:384:1:A
<,> #...# like 	Lying down on his back [.] Yeah	he was	<,> #...# like [.] The person known as <@> Rick </@> <,> had...	ICE-CAN:S1B-066:6:1:B
<,> <+> a </+> wanderer <,> moving from one place to...	...ic growth he has passed through several stages <,> [.] First	he was	<,> <+> a </+> wanderer <,> moving from one place to...	ICE-IND:S1B-008:39:1:A
<,> <.> wha </.> how long 	He was brilliant [.]	He was	<,> <.> wha </.> how long [.] A <.> y </.> nearly <,> not a ...	ICE-IRL:S1A-031:B
<,> <{#> <[#> intruding </[<#> almost cos tommy would...	Do you know what I mean [.] And she sort of felt like	he was	<,> <{#> <[#> intruding </[<#> almost cos Tommy would...	ICE-IRL:S1A-038:B
<,> about to die <,,> 	...s work called Kadambari <,> [.] The work was incomplete when	he was	<,> about to die <,,> [.] He called to one of his <,> shisya...	ICE-IND:S2A-027:15:1:A
<,> admitted in the hospital <,> 	...inish that soap <,,> [.] So by the time he finished the soap	he was	<,> admitted in the hospital <,> [.] Accha	ICE-IND:S1A-090:112:1:B
<,> an atheist <,> 	... <,,> I think I can imagine a good musician who said	he was	<,> an atheist <,> [.] Oh yes	ICE-IRL:S1B-049:B
<,> and this is something to bear in mind <,> in...	He does n't say much in his letters [.] What	he was	<,> and this is something to bear in mind <,> in...	ICE-IRL:S2A-050:A
<,> at that point starting to become close to the...	... basically what happened <,> uh from suicide [.] Uh but then	he was	<,> at that point starting to become close to the...	ICE-CAN:S1A-016:30:1:B
<,> being dealt with by police in <.>an</.> in another...	... hollows [.] <?>but</?> i believe at the time <?>that</?> er	he was	<,> being dealt with by police in <.>an</.> in another...	ICE-NZL:S1B-067:249:2:P
<,> bringing to an end<,> the forty-six years of public...	... making his farewell presentation on this occasion<,,>	he was	<,> bringing to an end<,> the forty-six years of public...	ICE-JAM:S2B-042:11:1:A
<,> concerned with language 	Yes [.] They all <,> you know basically	he was	<,> concerned with language [.] Even his work on #...# is ba...	ICE-IND:S1A-081:96:1:A
<,> floating <,,> 	...he weightlessness <,> there in the outer space [.] Therefore	he was	<,> floating <,,> [.] Every three or four minutes <,> he rep...	ICE-IND:S1B-006:24:1:A
<,> he was much better than stuff like that <,> 	... illness <,> I <,> we did correspond over New Year when	he was	<,> he was much better than stuff like that <,> [.] But then...	ICE-IND:S1B-071:137:1:C
<,> he was stuck with no house or nothing to go to 	... know <,> but see even my brother over in America <,>	he was	<,> he was stuck with no house or nothing to go to [.] Like ...	ICE-IRL:S1A-039:B
<,> he was very good <,> the fella who played the lead 	<[> Mhm </[> </{> [.]	He was	<,> he was very good <,> the fella who played the lead [.] T...	ICE-IRL:S1A-012:A
<,> i would n't say quite happy <,> but he had...	... what was behind the the this camouflage [.] Once he seen it	he was	<,> I would n't say quite happy <,> but he had...	ICE-IRL:S2A-021:A
<,> in with <@> violet </@> putting her to bed so i...	No she called [.] And I thought	he was	<,> in with <@> Violet </@> putting her to bed so I...	ICE-CAN:S1A-069:134:2:A
<,> married he comes in here <,> he says <,> three...	... manager of the bank</=></}> yet you do n't know	he was	<,> married he comes in here <,> he says <,> three...	ICE-JAM:S2A-066:21:1:A
<,> mind you <,> i think somebody told me he <.> di...	Did he die </[> [.] <[> But	he was	<,> mind you <,> I think somebody told me he <.> di...	ICE-IRL:S1A-037:B
<,> nineteen when we had him 	Well [.] Well	he was	<,> nineteen when we had him [.] Was he that old	ICE-CAN:S1A-073:59:1:A
<,> not outclassed<,> and certainly demonstrated that...	... excellent competition<,> [.] He won one of the three<,> but	he was	<,> not outclassed<,> and certainly demonstrated that...	ICE-JAM:S1B-026:74:1:B
<,> one of the gentlemen pensioners 	He was n't Lord this that or the other [.]	He was	<,> one of the gentlemen pensioners [.] Now what the gentlem...	ICE-IRL:S2A-050:A
<,> perturbed by that 	...rned with <,> today [.] But I 'm <{> <[> asking <,> </[> why	he was	<,> perturbed by that [.] <[> #...# </[> </{>	ICE-CAN:S1A-009:119:1:B
<,> real<,> 	... I 'm not a duppy see I can eat fish I can eat bread"<,> [.]	He was	<,> real<,> [.] So Thomas was convinced and he said " my Lord...	ICE-JAM:S2A-045:77:1:A
<,> really i mean <,> uh in great panic <,,> 	... was there with him <,,> and he was all alone and	he was	<,> really I mean <,> uh in great panic <,,> [.] And I do n'...	ICE-IND:S1B-061:294:1:B
<,> really young 	... to school I think he went to school in Europe when	he was	<,> really young [.] <[#> Uh huh </[<#> </{#>	ICE-HKG:S1A-006:X175:1:Z
<,> rocked in a hard hit by gatto <,,> 	Sets it up there for <,> Christiansen [.]	He was	<,> rocked in a hard hit by Gatto <,,> [.] And now back to p...	ICE-CAN:S2A-004:178:2:A
<,> sort of conscious 	...robably saved him <,> quite a lot of damage obviously [.] He	he was	<,> sort of conscious [.] He was n't really conscious	ICE-IRL:S1A-079:B
<,> telling other persons that blood is required for...	... advised him uh to make arrangement of blood and while	he was	<,> telling other persons that blood is required for...	ICE-IND:S2A-064:34:1:A
<,> there 's that many of them write books 	... the books [.] Och he does write <,> he he could be good but	he was	<,> there 's that many of them write books [.] Father Martin...	ICE-IRL:S1A-008:D
<,> treated or or he was atleast he was brought up <,>...	He had no voice <,> [.] Though he was the earning soul <,>	he was	<,> treated or or he was atleast he was brought up <,>...	ICE-IND:S1A-069:144:1:B
<,> uh he asked me #...# putting in back <,> 	... [.] So he always wearing it <,> and slipped on his nose and	he was	<,> uh he asked me #...# putting in back <,> [.] Then when m...	ICE-IND:S1A-033:223:1:A
<,> uh not a <?> trueful </?> <{> <[> witness </[> 	... was uh an honest person even though the panel said he	he was	<,> uh not a <?> trueful </?> <{> <[> witness </[> [.] <[> W...	ICE-HKG:S1B-031:X19:1:Z
